songTitle,artistName,releaseYear,popularity
Don't Worry About Me,['King Pleasure'],1960,10
Don't Worry About the Government,['Talking Heads'],1977,31
Don't Worry About the Government - 2005 Remaster,['Talking Heads'],1977,43
Don't Worry About the Government - Live; 2004 Remaster,['Talking Heads'],1982,28
Don't Worry Baby,['Los Lobos'],1984,33
Don't Worry Baby (Mono) - Remastered,['The Beach Boys'],1964,29
Don't Worry Baby (Stereo),['The Beach Boys'],1964,24
Don't Worry Baby - Remastered 2001,['The Beach Boys'],1964,65
Don't Worry Be Happy,['Bobby McFerrin'],1996,51
Don't Ya,['Brett Eldredge'],2013,62
Don't Ya Tell Henry,['Bob Dylan'],1975,25
Don't Ya Wish U Were Us?,['Chris Brochu'],2011,46
Don't You,['Sage The Gemini'],2014,53
Don't You (Forget About Me),['Simple Minds'],1985,75
Don't You (Forget About Me) - 12 Version,['Simple Minds'],1985,48
Don't You (Forget About Me) - Live,['Simple Minds'],1985,34
Don't You Believe It,['Andy Williams'],1966,29
Don't You Care,['The Buckinghams'],1967,38
Don't You Dare Forget The Sun,['Get Scared'],2012,47
Don't You Dog Me,['Fat Boys'],1984,21
Don't You Evah,['Spoon'],2007,53
Don't You Ever (Try To Change Me),['Loose Ends'],1990,34
Don't You Ever Get Tired (Of Hurting Me),['Ronnie Milsap'],1989,30
Don't You Ever Get Tired of Hurting Me,['Ray Price'],1965,41
Don't You Ever Leave Me,['Hanoi Rocks'],1984,33
Don't You Feel Small,['The Moody Blues'],1970,22
Don't You Forget It,['Glenn Lewis'],2002,46
Don't You Fret,['The Kinks'],1965,20
Don't You Get So Mad,['Jeffrey Osborne'],1983,27
Don't You Just Know It,['Huey Piano Smith'],1965,35
Don't You Know,['Jan Hammer Group'],1977,46
Don't You Know - Live At The Apollo Theater/1963,['Stevie Wonder'],1963,10
Don't You Know I Care,['Johnny Hartman'],1963,15
Don't You Know I Love You,['The Clovers'],1956,13
Don't You Know That?,['Luther Vandross'],1981,48
Don't You Know What The Night Can Do?,['Steve Winwood'],1988,30
Don't You Know Who I Think I Am?,['Fall Out Boy'],2007,49
Don't You Know?,['Della Reese'],1993,33
Don't You Lie To Me,['Chuck Berry'],1961,18
Don't You Love Me Anymore,['Joe Cocker'],1986,42
Don't You Love Your Daddy No More?,['Lead Belly'],1943,1
Don't You Need,['Melissa Etheridge'],1988,31
Don't You Pay Them No Mind,['Nina Simone'],1967,27
Don't You Remember,['Adele'],2011,64
Don't You Remember?,['Dean Martin'],1954,10
Don't You Remember? - Digitally Remastered 97,['Dean Martin'],1958,29
Don't You Say No,['R. Kelly'],2000,37
Don't You Take It Too Bad - Live,['Townes Van Zandt'],1977,28
Don't You Think This Outlaw Bit's Done Got out of Hand,['Waylon Jennings'],1978,39
Don't You Wanna Stay (with Kelly Clarkson),"['Jason Aldean', 'Kelly Clarkson']",2010,61
Don't You Want A Man Like Me,['B.B. King'],1957,14
Don't You Want Me,"['Jody Watley', 'Michael Hutchinson', 'Francois Kevorkian']",1987,45
Don't You Want Me - Extended Dance Mix / 2012 Remaster,['The Human League'],1981,34
Don't You Want Me - Remastered,['The Human League'],1981,46
Don't You Want to Stay?,['Bill Withers'],1975,27
Don't You Worry 'Bout A Thing,['David Axelrod'],1974,24
Don't You Worry Child,['Madilyn Bailey'],2013,57
Don't You Worry Child - Radio Edit,"['Swedish House Mafia', 'John Martin']",2012,77
Don't You Write Her Off,"['McGuinn, Clark & Hillman']",1979,21
Don't give up on us,['David Soul'],1976,61
Don't you push me down,['Woody Guthrie'],1958,17
"Don, Aman",['Slint'],1991,39
Dona,['Roupa Nova'],1985,57
Dona Emília,"['Noel Rosa', 'Almirante']",1950,4
Dona Geisha,['Carmen Miranda'],1937,0
Donald Trump,['Mac Miller'],2011,67
Donald Went A-Courtin',['Jeff Gunn'],2006,44
Donald and Lydia,['John Prine'],1976,22
Donatella,['Lady Gaga'],2013,60
Doncamatic (feat. Daley),"['Gorillaz', 'Daley']",2010,49
Doncella,['Zion & Lennox'],2005,48
Doncella (Remix) (Remix Mix),['Zion & Lennox'],2004,46
Doncha Bother Me,['The Rolling Stones'],1966,38
Doncha' Think It's Time,['Elvis Presley'],1959,25
Dondante,['My Morning Jacket'],2005,48
Donde Andará,['Pancho Barraza'],2001,48
Donde Andará - Remasterizado,"['Francisco Canaro', 'Ernesto Fama']",1939,0
Donde Caigo,['Conjunto Primavera'],1999,43
Donde El Viento Me Lleve,['La Mafia'],1992,34
Donde Estabas Tu,['Machito & His Afro-Cuban Orchestra'],1951,3
Donde Estara Mi Primavera,['Marco Antonio Solís'],2001,54
Donde Estaras,['ICC'],2016,59
Donde Estará,['Antony Santos'],1993,52
Donde Estas,['Los Bukis'],2003,50
Donde Estas Corazon,['Shakira'],1995,63
Donde Estás Corazón - Remasterizado,['Ignacio Corsini'],1928,0
Donde Estás Que No Te Veo - Remasterizado,"['Francisco Canaro', 'Agustín Irusta']",1927,0
Donde Estés Llegaré,['Alexis y Fido'],2011,57
"Donde Estés, Con Quien Estés",['Camilo Sesto'],1981,51
Donde Hubo Fuego,['Daddy Yankee'],2005,54
Donde Quiera Que Estés,['Tierra Cali'],2015,53
Donde Te Cache Sola - Remasterizado,"['Francisco Canaro', 'Ernesto Fama']",1934,0
Donde Vas,['Tito Puente'],1962,11
Donde lieta usci from La bohème,"['Giacomo Puccini', 'Eva Marton', 'Giuseppe Patanè', 'Munich Radio Orchestra']",1948,6
Donde lieta uscì,"['Giacomo Puccini', 'Gabriele Santini', 'Maria Callas', 'Orchestra Sinfonica Di Torino Della Rai']",1952,0
Donde lieta uscì al tuo grido d'amore (Mimì) - 1997 Remastered Version,"['Giacomo Puccini', 'Maria Callas', 'Orchestra Del Teatro Alla Scala, Milano', 'Antonino Votto', 'Orchestra Del Teatro Alla Scala Di Milan']",1958,16
Donde vien donde vas?,"['Nilla Pizzi', 'Duo Fasano']",1940,0
Done,['Chris Janson'],2019,66
Done All Wrong,['Black Rebel Motorcycle Club'],2009,43
Done Changed My Way of Living,['Taj Mahal'],1968,30
Done Somebody Wrong,['Elmore James'],1960,11
"Done Somebody Wrong - Live At The Fillmore East, March 1971",['The Allman Brothers Band'],1971,21
Done Somebody Wrong - Live At The Fillmore East/1971/First Show,['The Allman Brothers Band'],1971,20
"Done Somebody Wrong - Live At The Final Fillmore East Concert, 1971",['The Allman Brothers Band'],1972,22
Done Too Soon,['Neil Diamond'],1970,29
"Done Too Soon - Live At The Greek Theatre, Los Angeles/1972",['Neil Diamond'],1973,42
Done for Me (feat. Kehlani),"['Charlie Puth', 'Kehlani']",2018,69
Doney Gal,"['Roy Rogers', 'Dale Evans']",1949,12
Dong Work For Yuda,['Frank Zappa'],1979,30
Donimo,['Cocteau Twins'],1984,34
"Donizetti: Lucia di Lammermoor, Act 1: Egli s'avanza...Lucia, perdona se ad ora inusitata (Alisa, Edgardo, Lucia)","['Gaetano Donizetti', 'Anna Maria Canali', 'Giuseppe Di Stefano', 'Orchestra del Maggio Musicale Fiorentino', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 1: Il tuo dubbio è omai certezza ... Come vinti da stanchezza (Chorus, Normanno, Enrico, Raimondo)","['Gaetano Donizetti', 'Gino Sarri/Tito Gobbi/Raffaele Arié/Coro del Maggio Musicale Fiorentino/Orchestra del Maggio Musicale Fiorentino/Tullio Serafin', 'Coro del Maggio Musicale Fiorentino', 'Gino Sarri', 'Orchestra del Maggio Musicale Fiorentino', 'Raffaele Arie', 'Tito Gobbi', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 1: Regnava nel silenzio alta la notte e bruna (Lucia, Alisa)","['Gaetano Donizetti', 'Maria Callas', 'Anna Maria Canali', 'Orchestra del Maggio Musicale Fiorentino', 'Tullio Serafin']",1953,2
"Donizetti: Lucia di Lammermoor, Act 2: Appressati, Lucia ... Il pallor funesto, orrendo (Enrico, Lucia)","['Gaetano Donizetti', 'Tito Gobbi', 'Orchestra del Maggio Musicale Fiorentino', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 2: Esci, fuggi, il furor che mi accende (Arturo, Enrico, Chorus, Raimondo, Lucia, Edgardo, Alisa)","['Gaetano Donizetti', 'Valiano Natali', 'Anna Maria Canali', 'Gino Sarri', 'Orchestra del Maggio Musicale Fiorentino', 'Raffaele Arie', 'Tito Gobbi', 'Tullio Serafin']",1953,1
"Donizetti: Lucia di Lammermoor, Act 2: Lucia fra poco a te verrà (Normanno, Enrico)","['Gaetano Donizetti', 'Gino Sarri/Tito Gobbi/Orchestra del Maggio Musicale Fiorentino/Tullio Serafin', 'Gino Sarri', 'Orchestra del Maggio Musicale Fiorentino', 'Tito Gobbi', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 2: Per te d'immenso giubilo ... Per poco fra la tenebre (Chorus, Arturo)","['Gaetano Donizetti', 'Valiano Natali', 'Coro del Maggio Musicale Fiorentino', 'Orchestra del Maggio Musicale Fiorentino', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 2: Sconsigliato! In questa portachi ti guida? (Enrico, Edgardo, Raimondo, Lucia, Chorus)","['Gaetano Donizetti', 'Tito Gobbi', 'Coro del Maggio Musicale Fiorentino', 'Giuseppe Di Stefano', 'Orchestra del Maggio Musicale Fiorentino', 'Raffaele Arie', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 2: Se tradirmi tu potrai ... Tu che vedi il pianto mio (Enrico, Lucia)","['Gaetano Donizetti', 'Tito Gobbi', 'Orchestra del Maggio Musicale Fiorentino', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 2: T'allontana, sciagurato ... Rispettate in me di Dio (Arturo, Enrico, Chorus, Raimondo)","['Gaetano Donizetti', 'Valiano Natali', 'Coro del Maggio Musicale Fiorentino', 'Orchestra del Maggio Musicale Fiorentino', 'Raffaele Arie', 'Tito Gobbi', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 3: Fra poco a me ricovero darà negletto avello (Edgardo)","['Gaetano Donizetti', 'Giuseppe Di Stefano', 'Orchestra del Maggio Musicale Fiorentino', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 3: Oh! Qual funesto avvenimento! (Chorus, Raimondo)","['Gaetano Donizetti', 'Coro del Maggio Musicale Fiorentino, Raffaele Arié, Orchestra del Maggio Musicale Fiorentino, Tullio Serafin', 'Coro del Maggio Musicale Fiorentino', 'Orchestra del Maggio Musicale Fiorentino', 'Raffaele Arie', 'Tullio Serafin']",1953,0
"Donizetti: Lucia di Lammermoor, Act 3: Spargi d'amaro pianto (Lucia, Raimondo, Chorus, Enrico)","['Gaetano Donizetti', 'Maria Callas', 'Coro del Maggio Musicale Fiorentino', 'Orchestra del Maggio Musicale Fiorentino', 'Raffaele Arie', 'Tito Gobbi', 'Tullio Serafin']",1953,2
Donk,['Soulja Boy'],2007,53
Donkey City,['Sir Lancelot'],1950,0
Donkey Jaw,['America'],1972,35
Donkey Riding,['Wade Hemsworth'],1955,10
Donkey Serenade,['Horst Jankowski'],1964,18
Donna,['Los Lobos'],1987,49
Donna - Alternate Take,['Miles Davis Sextet'],1956,13
Donna - Live Version,['Ritchie Valens'],1960,18
Donna - Single Version,['Ritchie Valens'],1959,56
Donna / Hashish,"['Galt MacDermot', 'Tom Pierson']",1979,37
Donna Donna,['Joan Baez'],1960,48
Donna Lee,['Jaco Pastorius'],1976,42
Donna Lee - Bonus Track,['Art Pepper'],1959,15
Donna Lee - New Take 2 / New Take 3,['Charlie Parker'],1955,9
Donna Lee - New Take 3,['Charlie Parker'],1955,5
Donna Lee - Original Take,['Art Pepper'],1959,24
Donna bugiarda,['Giorgio Consolini'],1942,0
Donna dolores,['Cristian Vasile'],1935,0
Donna non vidi mai,['Giacomo Puccini'],1948,0
Donna the Prima Donna,['Dion'],1962,12
"Donna, Donna - Remastered Version",['The Everly Brothers'],1960,16
"Donna, donna mia",['Toto Cutugno'],1979,37
Donne-moi des sous - Récital au théâtre de l'etoile,['Yves Montand'],1953,0
Donnez Moi La Main Mam'Zelle,['Maurice Chevalier'],1935,0
Dono Hai Majboor Pyare,['Hameeda Bano'],1951,0
Donon Hi Ko Bigdi Kismat Ne,['Shamshad Begum'],1945,0
DontGetIt,['Lil Wayne'],2008,48
Dontcha,['The Internet'],2013,50
Dontchange - Album Version (Edited),['Musiq Soulchild'],2002,51
Dontmakemefallinlove,['Cuco'],2018,72
Don’t Blame Me,['Taylor Swift'],2017,66
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"['Ariana Grande', 'Miley Cyrus', 'Lana Del Rey']",2019,77
Don’t Cry Baby - Outtake / Remastered 2011,['Paul McCartney'],1970,25
Don’t Ever Go Away (Por Causa de Voce),"['Antônio Carlos Jobim', 'Frank Sinatra']",1967,30
Don’t Look Back Into The Sun,['The Libertines'],2007,43
Don’t Matter To Me (with Michael Jackson),"['Drake', 'Michael Jackson']",2018,73
Don’t Mind,['James Brown'],1971,35
Don’t Play This Song,"['Kid Cudi', 'Mary J. Blige']",2010,51
Don’t Say Goodbye,"['Sammy Johnson', 'Tree Vaifale']",2013,55
Don’t Stop The Party,['Black Eyed Peas'],2010,63
Don’t Wanna,['HAIM'],2020,62
Don’t Wanna Write This Song,['Brett Young'],2018,58
Don’t You Want My Love,['Moodymann'],2000,49
Doo Doo Brown,['2 Hyped Brothers & A Dog'],1991,27
Doo Doo Doo Doo Doo (Heartbreaker),['The Rolling Stones'],1973,54
Doo Wa Ditty (Blow That Thing),['Zapp'],1993,53
Doo Wa Ditty - Blow That Thing,['Zapp'],1982,38
Doo Wop (That Thing),['Ms. Lauryn Hill'],1998,73
Doo Wop (That Thing) - Edit,['Ms. Lauryn Hill'],1995,51
Doob Gaye Akash Ke Tare,['Talat Mahmood'],1953,0
Doob Gaye Toofan Utha Phir Aas Gai,['Jagmohan Sursagar'],1945,0
Dooba Dooba,['Silk Route'],1983,31
Doobie Ashtray,['Devin The Dude'],2013,55
Doobie In My Pocket,['Keller Williams'],2009,49
Doobie Wah - Live,['Peter Frampton'],1976,36
Doobti Nao Ko Tinke Ka Sahara Na,['Amirbai Karnataki'],1945,0
Dooby Dooby Wah,['Ritchie Valens'],1959,33
Doodh Piyo Sub Doodh Piyo,['Khursheed Bano'],1939,0
Doodlin',['Sarah Vaughan'],1958,11
Dooley,['The Dillards'],1963,43
Doolin-Dalton (Instrumental) - Instrumental; 2013 Remaster,['Eagles'],1973,35
Doolin-Dalton (Reprise II) - Live; 1999 Remaster,['Eagles'],1980,33
Doolin-Dalton - 2013 Remaster,['Eagles'],1973,51
Doolin-Dalton / Desperado (Reprise) - 2013 Remaster,['Eagles'],1973,39
Doom Town,['Wipers'],1983,28
Doomed,['Bring Me The Horizon'],2015,62
Doomsday,['Atreyu'],2007,42
Doomsday Jesus,['Black Label Society'],2003,41
Doop-Doo-De-Doop (A Doodlin' Song),['Blossom Dearie'],1958,34
Door,['C418'],2011,55
Door #1,['LSG'],1997,40
Door Desh Mera Chala Ladla,['Vimal Gaonkar'],1948,0
Door Door Se Kya Gata Hai,"['Bela Mukherjee', 'Ravi']",1955,0
Door Hato Ae Duniyawalo,['Amirbai Karnataki'],1943,0
Door Jaye Re Raah Meri Aaj,['Lata Mangeshkar'],1948,0
Door Koi Gaaye,"['Lata Mangeshkar', 'Mohammed Rafi', 'Shamshad Begum']",1953,6
Door Number Three,['Jimmy Buffett'],1974,28
Door Papiha Bole,['Suraiya'],1948,0
Door To Door,['Creedence Clearwater Revival'],1972,49
Door of the Cosmos,['Sun Ra'],2004,47
Doors,['Mac Miller'],2015,52
Doors of Perception featuring Gunjan,['Thievery Corporation'],2005,45
Doot Doot,['Freur'],1983,38
Doot Doot - 12 Mix,['Freur'],1983,32
Doowutchyalike,['Digital Underground'],1990,41
Dopamine,['BØRNS'],2015,55
Dope,['BTS'],2015,63
Dope Boy Dreams,['Quando Rondo'],2019,60
Dope Boys,['The Game'],2008,52
Dope Dealer,"['ScHoolboy Q', 'E-40']",2016,58
Dope Fiend Beat,['Too $hort'],1989,28
Dope Game,['South Park Mexican'],2000,45
Dope Hat,['Marilyn Manson'],1994,40
Dope House Family,['South Park Mexican'],2006,44
Dope Man,['JAY-Z'],1999,37
Dope Nose,['Weezer'],2002,44
Dope Vhs Master,['Desmond Cheese'],2010,54
Dope on a Rope,['The Growlers'],2016,64
Dope!,"['Bell Biv DeVoe', 'Hank Shocklee', 'Eric Sadler', 'Keith Shocklee']",1990,27
Dopeman,['N.W.A.'],1988,42
Dopeman - Remix,['N.W.A.'],1988,52
Dopesmoker,['Sleep'],2003,43
Doquiera Estás Tú,['Juan Gabriel'],1986,36
Dor De Uma Saudade,"['Heitor dos Prazeres', 'Chico Alves']",1950,0
Dorakuna Ituvanti Seva,['Chittoor V. Nagaiah'],1946,0
Doralice,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']",1964,38
Dorința mea,['Jean Moscopol'],1935,0
Dorkfish,['Bill Engvall'],1998,34
Dormi Bambina,['Alberto Rabagliati'],1947,0
Dormir Soñando,['El Gran Silencio'],1998,56
Dormiveglia,['Benjamin Gustafsson'],2017,61
Dormono entrambi.,"['Vincenzo Bellini', 'Vittorio Gui', 'Orchestra Sinfonica e Coro di Torino della RAI']",1951,0
Doroteo,"['Tommy Olivencia', 'Chamaco Ramírez', 'Paquito Guzman']",1974,21
Dorothy's Dance,['Sun Ra'],1960,8
Dorothy's Rescue - Extended Version,['MGM Studio Orchestra'],1939,16
Dorraine of Ponchartrain,['Johnny Cash'],1960,15
Dos,['Los Bukis'],1991,42
Dos Almas,"['Leo Marini', 'La Sonora Matancera']",1958,28
Dos Almas - Remasterizado,"['Francisco Canaro', 'Enrique Lucero']",1946,0
Dos Amores,['Manuel Ascanio'],1990,40
Dos Amores - Remasterizado,"['Francisco Canaro', 'Ernesto Fama']",1932,0
Dos Arbolitos (Two Little Trees),['Linda Ronstadt'],1987,35
Dos Años,['Trío Los Chamas'],1932,0
Dos Botellas De Mescal,['Los Morros Del Norte'],2007,50
Dos Botellas De Mezcal,['Miguel Y Miguel'],2004,49
Dos Carnales,['Los Garcia Bros.'],2000,36
Dos Cartas y una Flor,['Los Caminantes'],1999,52
Dos Cartas y una Flor - En Vivo,['Los Caminantes'],1997,46
Dos Claveles,['Los Invasores De Nuevo León'],1986,30
Dos Corazones - Remasterizado,"['Francisco Canaro', 'Carlos Roldán']",1944,0
Dos Cosas,['Los Terricolas'],2002,47
Dos Cruces,['Milton Nascimento'],1972,38
Dos Enamorados,['Industria del Amor'],2012,52
Dos Gardenias,['Angel Canales'],1979,51
Dos Gotas De Agua,['Chelo'],2004,44
Dos Hojas Sin Rumbo,['Ramon Ayala Y Sus Bravos Del Norte'],1979,45
Dos Jueyes,"['Willie Colón', 'Celia Cruz']",1981,26
Dos Locos,['Los Horóscopos De Durango'],2006,49
Dos Minutos - Remasterizado,"['Francisco Canaro', 'Carlos Roldán']",1944,0
Dos Monedas,['Ramon Ayala Y Sus Bravos Del Norte'],1982,45
Dos Mujeres un Camino,['Laura Leon'],1997,47
Dos Mujeres y un Cantar - Instrumental (Remasterizado),['Francisco Canaro'],1937,0
Dos Mundos- Finale,['Phil Collins'],1999,39
Dos Ojos Negros - Remasterizado,"['Francisco Canaro', 'Charlo']",1930,0
Dos Palabras,"['Margarita Cueto', 'Luis Àlvarez']",1930,0
Dos Palomas Al Volar,['El Palomo Y El Gorrion'],1960,26
Dos Pasajes,['Los Dinamicos Del Norte'],2001,39
Dos Seres Que Se Aman,['Antonio Aguilar'],1986,48
Dos Traiciones,['Ezequiel Peña'],1996,47
Dos Vicios,['Los Cadetes De Linares'],2016,55
Dos días en la vida,['Jarabe De Palo'],2001,61
Dos en Uno,['Grupo Macao de Alex y Jhonny'],2006,48
Dose of Reality,"['Kid Quill', 'Alex Hall']",2016,52
Dose of Thunder - 2008 Remaster,['The Replacements'],1985,25
Dosed,['Red Hot Chili Peppers'],2002,49
Doses & Mimosas,['Cherub'],2014,69
Dost Dost Na Raha Pyar Pyar Na Raha,['Mukesh'],1953,24
Dost Dosti Ek Naya Sabak,"['Motilal', 'Anjali Devi']",1943,0
Dost Hua Hai Dushman Jaani (From Society),['Rafique Ghaznavi'],1942,0
Dot Dash,['Wire'],1978,26
Dot Your Eyes,['Five Finger Death Punch'],2013,53
DotA,['Basshunter'],2008,50
Dou-Lhe Uma,['Carmen Miranda'],1936,0
Double Bass,['Gorillaz'],2001,42
Double Canon Raoul Dufy in Memoriam for String Quartet,"['Igor Stravinsky', 'Robert Craft', 'Israel Baker', 'Otis Igleman', 'Sanford Schonbach', 'George Neikrug']",1948,0
Double Clutching - Digital Remaster,['John Coltrane'],1959,10
"Double Concerto for 2 Violins, Strings, and Continuo in D Minor, BWV 1043: 1. Vivace","['Johann Sebastian Bach', 'David Oistrakh', 'Igor Oistrakh', 'George Malcolm', 'Royal Philharmonic Orchestra', 'Eugene Goossens']",1962,21
"Double Concerto for 2 Violins, Strings, and Continuo in D Minor, BWV 1043: 2. Largo ma non tanto","['Johann Sebastian Bach', 'David Oistrakh', 'Igor Oistrakh', 'George Malcolm', 'Royal Philharmonic Orchestra', 'Eugene Goossens']",1962,18
"Double Concerto for 2 Violins, Strings, and Continuo in D Minor, BWV 1043: 3. Allegro","['Johann Sebastian Bach', 'David Oistrakh', 'Igor Oistrakh', 'George Malcolm', 'Royal Philharmonic Orchestra', 'Eugene Goossens']",1962,11
"Double Concerto for Violin & Cello in A Minor, Op. 102: I. Allegro","['Johannes Brahms', 'Bruno Walter', 'Columbia Symphony Orchestra']",1951,0
Double Cross,['First Choice'],1978,23
Double Crosser,['Marvin Sease'],1987,23
Double Crossing Time - Mono,"['John Mayall & The Bluesbreakers', 'Eric Clapton']",1966,38
Double Crossing Time - Stereo,"['John Mayall & The Bluesbreakers', 'Eric Clapton']",1966,25
Double Dare,['Bauhaus'],1980,42
Double Dutch,['Malcolm McLaren'],1983,43
Double Dutch Bus,['Frankie Smith'],1981,45
Double Dutch Bus - Original 12,['Frankie Smith'],1981,21
Double Dutch Bus - Radio Edit,['Frankie Smith'],1981,21
Double Groove - Unfinished Outtake,['Talking Heads'],1980,34
Double Life,['The Cars'],1979,42
Double Rainbow,['Stan Getz'],1963,24
Double Rainbow (feat. João Gilberto),"['Stan Getz', 'João Gilberto']",1976,36
Double Take,['Austin Moon'],2012,46
Double Talk,['The McGhee-Navarro Boptet'],1951,17
Double Talker,['Molly Hatchet'],1980,27
Double Talkin' Baby,['Gene Vincent & His Blue Caps'],1957,19
Double Talkin' Jive,[Guns N' Roses],1991,53
Double Team,['Tenacious D'],2001,41
Double Thumbing,['Pete Seeger'],1954,1
Double Tree,['Otis Rush'],1956,6
Double Trouble,['John Williams'],2004,50
Double Trouble - Take 3,['Otis Rush'],1956,6
Double Up (feat. Belly and Dom Kennedy),"['Nipsey Hussle', 'Belly', 'Dom Kennedy']",2018,70
Double Vision,['3OH!3'],2010,51
Double or Nothing,"['Al Kooper', 'Shuggie Otis']",1969,23
Double or Nothing - From Rocky IV Soundtrack,"['Kenny Loggins', 'Gladys Knight']",1985,49
Double-Decker Bus,['Count Five'],1966,23
Double-O,['Count Basie'],1958,21
Double-Wide Dream,['Casey Donahew'],2011,48
Doubleback,['ZZ Top'],1990,42
Doublewhiskeycokenoice,['Dillinger Four'],1998,35
Doubly Good To You - Remastered,['Amy Grant'],1984,25
Doubt,['Twenty One Pilots'],2015,71
Doubt - 2005 Remaster,['The Cure'],1981,21
Doubt It,['KYLE'],2016,58
Doubts Even Here - 2015 Remaster,['New Order'],1981,31
Douce France,['Charles Trenet'],1992,51
Doug's Blues,['Donald Byrd'],1955,7
Doug's Mino B' Ok,['Hank Mobley'],1956,6
Doug's Tune,['The Dillards'],1963,24
Dough,['Key Glock'],2020,66
Doused,['DIIV'],2012,55
Două inimioare și patru pereți,"['Bébé Altman', 'M. Honigsberg', 'Mary Don']",1935,0
Dov'è Lucia?,"['Gaetano Donizetti', 'Ugo Tansini', 'Orchestra Sinfonica e Coro di Torino della RAI']",1951,0
Dov'è l'amore,"['Cher', 'Emilio Estefan, Jr.', 'Lawrence Dermer']",1998,47
Dove,['Cymande'],1972,57
Dove Andranno A Finire I Palloncini,['Renato Rascel'],1953,2
Dove Sta Zazà?,['Fausto Cigliano'],1950,7
Dove sta zazà - Instrument and base Version,['Orchestra Studio 7'],1942,0
Dove sta zazà - Musical base Version,['Orchestra Studio 7'],1942,0
"Dover Beach, Op. 3","['Samuel Barber', 'Dietrich Fischer-Dieskau']",1951,2
Doves In The Wind (feat. Kendrick Lamar),"['SZA', 'Kendrick Lamar']",2017,63
Down,['Miles Davis'],1956,13
Down '71 (The Getaway),['Bone Thugs-N-Harmony'],1995,41
Down (Remix),"['R.K.M & Ken-Y', 'Ken-Y']",2007,54
Down (feat. Gucci Mane),"['Fifth Harmony', 'Gucci Mane']",2017,62
Down (feat. Joi),"['Run The Jewels', 'Joi']",2016,54
Down 2 Tha Last Roach,['Eazy-E'],1993,40
Down 4 My N's,"['Snoop Dogg', 'C-Murder', 'Magic']",1999,45
Down 4 U,"['Charli Baltimore', 'Ja Rule', 'Ashanti', 'Vita']",2002,45
Down A** B**ch,"['Ja Rule', 'Chuck']",2001,55
Down Along The Cove,"['Johnny Jenkins', 'Duane Allman']",1972,22
Down Among the Sheltering Palms,['The Chordettes'],1954,9
Down And Out,['Tantric'],2008,55
Down And Out In New York City,"['James Brown', The J.B.'s]",1973,31
Down At The Landing,['John Lee Hooker'],1959,13
Down At The Twist And Shout,['Mary Chapin Carpenter'],1990,40
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","['Dreamville', 'JID', 'Bas', 'J. Cole', 'EARTHGANG', 'Young Nudy']",2019,71
Down Below,['Roddy Ricch'],2018,78
Down Below the Borderline,['Little Feat'],1975,28
Down Bottom,"['Ruff Ryders', 'Drag-On', 'Juvenile']",1999,48
Down Boys,['Warrant'],1989,48
Down Brownie,['ZZ Top'],1972,29
Down By The Bay,['Raffi'],1976,56
Down By The Lazy River,['The Osmonds'],1971,32
Down By The Old Mill Stream - Remastered,['Nat King Cole'],1952,14
Down By The River,['Morgan Heritage'],2001,49
Down By The Riverside,"['Louis Armstrong', 'Sy Oliver Choir', 'The Allstars']",1958,23
Down By The Sycamore Tree,['Stan Getz'],1955,9
Down By The Water,['The Drums'],2010,40
Down By the Sea,['Men At Work'],1981,39
Down Came a Blackbird,['Lila McCann'],1997,37
Down Came the World,['Waylon Jennings'],1966,15
Down Don't Bother Me,['Albert King'],1967,17
Down Don't Bother Me - Mono Mix,['Albert King'],1967,28
Down Down,['Bachman-Turner Overdrive'],1977,33
Down Down Down,['The Expendables'],2007,48
Down Drinking at the Bar,['Loudon Wainwright III'],1973,25
Down Endless Street - 2017 Remaster,['Fleetwood Mac'],1987,34
Down Foe My Thang,['Bone Thugs-N-Harmony'],1994,43
Down For Double,['Mel Tormé'],1962,19
Down For Me (feat. 24hrs),"['G-Eazy', 'Carnage', '24hrs']",2017,60
Down For My N's,"['C-Murder', 'Magic', 'Snoop Dogg']",2005,39
Down For My Niggaz,"['C-Murder', 'Magic', 'Snoop Dogg']",2010,48
Down For Whatever - Remastered,['Ice Cube'],1993,44
Down For Yours - NBK Mix,['Nastyboy Klick'],1997,38
Down Girl,['Roy Woods'],2016,57
Down Hearted,['Val Rosing'],1932,0
Down Hearted Blues,['Bessie Smith'],1923,19
Down Here,['Turnpike Troubadours'],2015,49
"Down Here Lord, Waiting On You",['Reverend J.M. Gates'],1926,0
